data,open,high,low,close,volume ,changepercent
2020/3/12,22184.71 ,22837.95 ,21154.46 ,21200.62 ,0,-9.99%
2020/3/13,21973.82 ,23189.76 ,21285.37 ,23185.62 ,0,9.36%
2020/3/16,20917.53 ,21768.28 ,20116.46 ,20188.52 ,0,-12.93%
2020/3/17,20487.05 ,21379.35 ,19882.26 ,21237.38 ,0,5.20%
2020/3/18,20188.69 ,20489.33 ,18917.46 ,19898.92 ,0,-6.30%
2020/3/19,19830.01 ,20442.63 ,19177.13 ,20087.19 ,0,0.95%
2020/3/20,20253.15 ,20531.26 ,19094.27 ,19173.98 ,0,-4.55%
2020/3/23,19028.36 ,19121.01 ,18213.65 ,18591.93 ,0,-3.04%
2020/3/24,19722.19 ,20737.70 ,19649.25 ,20704.91 ,0,11.37%
2020/3/25,21050.34 ,22019.93 ,20538.34 ,21200.55 ,0,2.39%
2020/3/26,21468.38 ,22595.06 ,21427.10 ,22552.17 ,0,6.38%
2020/3/27,21898.47 ,22327.57 ,21469.27 ,21636.78 ,0,-4.06%
2020/3/30,21678.22 ,22378.09 ,21522.08 ,22327.48 ,0,3.19%
2020/3/31,22208.42 ,22480.37 ,21852.08 ,21917.16 ,0,-1.84%
2020/4/1,21227.38 ,21487.24 ,20784.43 ,20943.51 ,0,-4.44%
2020/4/2,20819.46 ,21477.77 ,20735.02 ,21413.44 ,0,2.24%
2020/4/3,21285.93 ,21447.81 ,20863.09 ,21052.53 ,0,-1.69%
2020/4/6,21693.63 ,22783.45 ,21693.63 ,22679.99 ,0,7.73%
2020/4/7,23537.44 ,23617.24 ,22634.45 ,22653.86 ,0,-0.12%
2020/4/8,22893.47 ,23513.40 ,22682.99 ,23433.57 ,0,3.44%
2020/4/9,23690.66 ,24008.99 ,23504.09 ,23719.37 ,0,1.22%
2020/4/13,23698.93 ,23698.93 ,23095.35 ,23390.77 ,0,-1.39%
2020/4/14,23690.57 ,24040.58 ,23683.44 ,23949.76 ,0,2.39%
2020/4/15,23600.72 ,23649.72 ,23233.32 ,23504.35 ,0,-1.86%
2020/4/16,23543.66 ,23598.08 ,23211.38 ,23537.68 ,0,0.14%
2020/4/17,23817.15 ,24264.21 ,23817.15 ,24242.49 ,0,2.99%
2020/4/20,24095.10 ,24108.69 ,23627.19 ,23650.44 ,0,-2.44%
2020/4/21,23365.25 ,23365.25 ,22941.88 ,23018.88 ,0,-2.67%
2020/4/22,23437.34 ,23613.10 ,23339.60 ,23475.82 ,0,1.99%
2020/4/23,23543.09 ,23885.36 ,23483.35 ,23515.26 ,0,0.17%
2020/4/24,23628.24 ,23826.00 ,23417.68 ,23775.27 ,0,1.11%
2020/4/27,23866.15 ,24207.65 ,23840.61 ,24133.78 ,0,1.51%
2020/4/28,24357.17 ,24512.24 ,24031.20 ,24101.55 ,0,-0.13%
2020/4/29,24490.37 ,24764.77 ,24453.99 ,24633.86 ,0,2.21%
2020/4/30,24585.57 ,24585.57 ,24186.90 ,24345.72 ,0,-1.17%
2020/5/1,24120.78 ,24120.78 ,23645.30 ,23723.69 ,0,-2.55%
2020/5/4,23581.55 ,23769.56 ,23361.16 ,23749.76 ,0,0.11%
2020/5/5,23958.88 ,24169.72 ,23868.91 ,23883.09 ,0,0.56%
2020/5/6,23978.88 ,24054.59 ,23661.14 ,23664.64 ,0,-0.91%
2020/5/7,23837.21 ,24094.62 ,23834.39 ,23875.89 ,0,0.89%
2020/5/8,24107.82 ,24349.90 ,24107.05 ,24331.32 ,0,1.91%
2020/5/11,24256.45 ,24366.21 ,24070.22 ,24221.99 ,0,-0.45%
2020/5/12,24292.84 ,24382.09 ,23761.58 ,23764.78 ,0,-1.89%
2020/5/13,23702.16 ,23708.90 ,23067.64 ,23247.97 ,0,-2.17%
2020/5/14,23049.06 ,23630.86 ,22789.62 ,23625.34 ,0,1.62%
2020/5/15,23454.83 ,23730.08 ,23354.15 ,23685.42 ,0,0.25%
2020/5/18,24059.98 ,24708.54 ,24059.98 ,24597.37 ,0,3.85%
2020/5/19,24577.48 ,24599.50 ,24202.96 ,24206.86 ,0,-1.59%
2020/5/20,24455.94 ,24649.48 ,24455.94 ,24575.90 ,0,1.52%
2020/5/21,24564.27 ,24718.46 ,24370.88 ,24474.12 ,0,-0.41%
2020/5/22,24461.98 ,24481.64 ,24294.07 ,24465.16 ,0,-0.04%
2020/5/26,24781.84 ,25176.42 ,24781.84 ,24995.11 ,0,2.17%
2020/5/27,25298.63 ,25551.56 ,25009.87 ,25548.27 ,0,2.21%
2020/5/28,25697.36 ,25758.79 ,25358.73 ,25400.64 ,0,-0.58%
2020/5/29,25324.15 ,25482.80 ,25031.67 ,25383.11 ,0,-0.07%
2020/6/1,25342.99 ,25508.83 ,25220.66 ,25475.02 ,0,0.36%
2020/6/2,25582.52 ,25743.13 ,25523.74 ,25742.65 ,0,1.05%
2020/6/3,25906.88 ,26337.75 ,25906.88 ,26269.89 ,0,2.05%
2020/6/4,26226.49 ,26384.10 ,26082.31 ,26281.82 ,0,0.05%
2020/6/5,26836.80 ,27338.30 ,26836.80 ,27110.98 ,0,3.15%
2020/6/8,27232.93 ,27580.21 ,27232.48 ,27572.44 ,0,1.70%
2020/6/9,27447.37 ,27447.37 ,27151.06 ,27272.30 ,0,-1.09%
2020/6/10,27251.89 ,27355.22 ,26938.05 ,26989.99 ,0,-1.04%
2020/6/11,26282.51 ,26294.08 ,25082.72 ,25128.17 ,0,-6.90%
2020/6/12,25659.42 ,25965.55 ,25078.41 ,25605.54 ,0,1.90%
2020/6/15,25270.39 ,25891.58 ,24843.18 ,25763.16 ,0,0.62%
2020/6/16,26326.68 ,26611.03 ,25811.70 ,26289.98 ,0,2.04%
2020/6/17,26330.52 ,26400.07 ,26068.41 ,26119.61 ,0,-0.65%
2020/6/18,26016.45 ,26154.20 ,25848.53 ,26080.10 ,0,-0.15%
2020/6/19,26213.10 ,26451.44 ,25759.66 ,25871.46 ,0,-0.80%
2020/6/22,25865.08 ,26059.81 ,25667.68 ,26024.96 ,0,0.59%
2020/6/23,26159.39 ,26314.97 ,26105.97 ,26156.10 ,0,0.50%
2020/6/24,25992.96 ,25992.96 ,25296.73 ,25445.94 ,0,-2.72%
2020/6/25,25365.22 ,25769.61 ,25209.79 ,25745.60 ,0,1.18%
2020/6/26,25641.69 ,25641.69 ,24971.03 ,25015.55 ,0,-2.84%
2020/6/29,25152.45 ,25601.15 ,25096.16 ,25595.80 ,0,2.32%
2020/6/30,25512.43 ,25905.38 ,25475.14 ,25812.88 ,0,0.85%
2020/7/1,25879.38 ,26019.31 ,25713.61 ,25734.97 ,0,-0.30%
